City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
128,São Filipe,0,CV,1651163476,71,14.8961,-24.4956,71.98,9.73
129,Saint-Philippe,49,RE,1651163477,80,-21.3585,55.7679,75.22,7.94
130,Charagua,72,BO,1651163477,79,-19.8,-63.2167,74.77,6.67
131,Saint Paul Harbor,100,US,1651163359,75,57.79,-152.4072,42.31,10.36
132,Lerum,0,SE,1651163477,41,57.7745,12.2697,54.25,11.5
133,Bam,31,IR,1651163478,16,29.106,58.357,85.08,7.74
134,Vila,0,PT,1651163368,52,42.0304,-8.1588,63.48,6.44
135,Pauini,54,BR,1651163478,52,-7.7136,-66.9764,90.54,5.1
136,Talara,0,PE,1651163479,57,-4.5772,-81.2719,81.36,14.97
137,Hvide Sande,36,DK,1651163479,72,56.0045,8.1294,51.1,20.96
138,Batticaloa,77,LK,1651163480,81,7.7102,81.6924,82.9,7.34
139,Salinópolis,88,BR,1651163480,80,-0.6136,-47.3561,81.81,10.22
140,Saratoga Springs,39,US,1651163481,27,43.0831,-73.7846,51.33,4.0
141,Salalah,20,OM,1651163481,74,17.0151,54.0924,86.09,6.91
142,Alenquer,93,BR,1651163482,73,-1.9417,-54.7383,84.2,4.59
143,Kushmurun,100,KZ,1651163482,49,52.4503,64.6311,62.17,10.16
144,Yakeshi,100,CN,1651163483,46,49.2833,120.7333,38.03,6.62
145,Bubaque,30,GW,1651163483,69,11.2833,-15.8333,79.16,16.84
146,Camacha,40,PT,1651163484,59,33.0833,-16.3333,63.82,11.5
147,Edd,28,ER,1651163484,49,13.9297,41.6925,92.86,14.79
148,Port Elizabeth,3,ZA,1651163411,53,-33.918,25.5701,65.32,5.46
149,Parrita,96,CR,1651163485,65,9.5201,-84.3225,85.48,5.84
150,Chara,81,RU,1651163485,71,56.9064,118.2631,22.39,1.57
151,Kruisfontein,11,ZA,1651163486,61,-34.0033,24.7314,60.89,4.03
152,Laguna,0,US,1651163486,58,38.421,-121.4238,58.01,12.66
153,Samfya,99,ZM,1651163486,73,-11.3649,29.5565,66.92,6.67
154,Roald,75,NO,1651163487,70,62.5833,6.1333,47.08,6.91
155,Codrington,7,AU,1651163487,63,-38.2667,141.9667,67.95,19.71
156,Guerrero Negro,4,MX,1651163488,61,27.9769,-114.0611,64.63,16.55
157,Vestmannaeyjar,20,IS,1651163488,81,63.4427,-20.2734,50.99,10.36
158,Tuktoyaktuk,100,CA,1651163488,85,69.4541,-133.0374,6.8,12.66
159,Cidreira,42,BR,1651163389,65,-30.1811,-50.2056,80.64,14.56
160,Severnoye,95,RU,1651163489,69,56.3491,78.3619,60.49,12.59
161,Trairi,80,BR,1651163489,73,-3.2778,-39.2689,84.13,10.67
162,Klaksvík,79,FO,1651163490,75,62.2266,-6.589,45.52,5.35
163,Fare,0,PF,1651163490,66,-16.7,-151.0167,82.02,23.82
164,Micheweni,65,TZ,1651163490,88,-4.9667,39.8333,78.24,12.44
165,Eydhafushi,100,MV,1651163491,69,5.1033,73.0708,85.28,4.34
166,Doha,76,QA,1651163491,59,25.2867,51.5333,95.31,16.11
167,Novobiryusinskiy,100,RU,1651163491,98,56.9578,97.7076,39.85,2.39
168,Sabha,1,LY,1651163492,7,27.0377,14.4283,92.17,14.14
169,Isangel,100,VU,1651163492,73,-19.55,169.2667,78.08,21.27
170,Chumikan,98,RU,1651163493,79,54.7183,135.315,26.24,7.18
171,Tocopilla,92,CL,1651163493,72,-22.092,-70.1979,68.54,5.64
172,Ugoofaaru,96,MV,1651163494,69,5.6667,73.0,85.44,3.62
173,Saldanha,26,ZA,1651163494,90,-33.0117,17.9442,68.05,12.24
174,Lamu,93,KE,1651163494,76,-2.2717,40.902,84.42,10.83
175,St. Marys,0,US,1651163495,47,30.7305,-81.5465,78.82,17.27
176,Nabire,100,ID,1651163495,91,-3.3667,135.4833,75.88,2.75
177,Ojinaga,0,MX,1651163496,41,29.5667,-104.4167,88.57,0.0
178,Vanino,66,RU,1651163496,67,49.0869,140.2543,30.81,9.22
179,Oruzgan,42,AF,1651163497,29,32.8333,66.0,71.87,6.31
180,Ilulissat,100,GL,1651163497,86,69.2167,-51.1,26.62,4.61
181,Jieshi,3,CN,1651163497,92,22.8134,115.8257,76.28,2.01
182,Puerto Ayora,20,EC,1651163498,74,-0.7393,-90.3518,78.76,8.55
183,Bambanglipuro,99,ID,1651163219,88,-7.95,110.2833,78.03,4.21
184,Erzin,8,TR,1651163498,55,36.9559,36.2,67.93,3.65
185,Tabou,100,CI,1651163498,70,4.423,-7.3528,83.79,9.91
186,Rawson,7,AR,1651163499,36,-43.3002,-65.1023,50.74,17.83
187,Muskegon,75,US,1651163499,36,43.3,-86.1334,50.94,10.36
188,Tuatapere,43,NZ,1651163500,95,-46.1333,167.6833,44.6,3.22
189,Brooks,22,CA,1651163500,61,50.5834,-111.8851,48.18,3.44
190,Zhigansk,52,RU,1651163500,97,66.7697,123.3711,6.82,5.97
191,Rājbirāj,3,NP,1651163501,38,26.5333,86.75,87.13,7.38
192,Avera,10,US,1651163501,33,33.194,-82.5271,74.71,7.31
193,North Bend,20,US,1651163502,92,43.4065,-124.2243,50.92,4.61
194,Tiznit Province,9,MA,1651163502,50,29.5833,-9.5,67.19,7.78
195,Naze,42,JP,1651163503,92,28.3667,129.4833,72.52,11.86
196,Tautira,20,PF,1651163503,75,-17.7333,-149.15,79.93,23.73
197,Neuquén,0,AR,1651163503,40,-38.9516,-68.0591,53.49,8.05
198,Lebowakgomo,13,ZA,1651163504,52,-24.2,29.5,63.5,2.98
199,Kalemie,8,CD,1651163504,82,-5.9475,29.1947,73.31,5.01
200,Lebu,66,CL,1651163505,59,-37.6167,-73.65,54.79,10.69
201,Atar,1,MR,1651163505,7,20.5169,-13.0499,95.45,9.06
202,Bambous Virieux,40,MU,1651163505,88,-20.3428,57.7575,75.45,3.44
203,Matara,97,LK,1651163506,80,5.9485,80.5353,81.07,5.17
204,Tarakan,49,ID,1651163506,75,3.3,117.6333,81.16,2.71
205,Dikson,73,RU,1651163506,81,73.5069,80.5464,13.91,20.13
206,Boralday,0,KZ,1651163507,71,43.3578,76.8594,51.66,4.47
207,Anloga,100,GH,1651163507,73,5.7947,0.8973,80.67,3.74
208,Gamba,84,GA,1651163508,85,-2.65,10.0,78.55,6.44
209,Faanui,8,PF,1651163508,71,-16.4833,-151.75,81.43,23.31
210,Hearst,24,CA,1651163509,51,49.6835,-83.6665,44.85,4.36
211,Barcelona,0,ES,1651163495,56,41.3888,2.159,75.81,11.5
212,Aitape,80,PG,1651163509,87,-3.1374,142.3475,77.63,3.69
213,Ribeira Grande,75,PT,1651163510,100,38.5167,-28.7,63.0,11.5
214,Hithadhoo,99,MV,1651163510,68,-0.6,73.0833,85.62,6.64
215,Bud,65,US,1651163510,58,39.447,-86.1758,62.67,11.07
216,Hamilton,20,US,1651163400,49,39.1834,-84.5333,56.21,8.05
